CET,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKmh,MeanWindSpeedKmh,MaxGustSpeedKmh,Precipitationmm,CloudCover,Events,WindDirDegrees
1999-3-23,20,10,1,1,-2,-5,87,48,21,1019,1016,1012,,,,16,10,,0.00,,,56
1999-3-24,10,7,3,8,4,-1,100,78,50,1013,1009,1006,10,8,6,16,8,,0.00,7,Rain,43
1999-3-25,14,9,5,9,6,1,100,79,47,1008,1006,1006,10,8,5,35,13,,0.00,7,Rain,224
1999-3-26,12,8,4,0,-2,-4,70,50,35,1013,1011,1007,10,10,10,34,19,,0.00,5,,276
1999-3-27,11,8,6,4,0,-4,81,57,35,1013,1012,1011,10,10,10,42,29,55,0.00,5,Rain,281
1999-3-28,15,9,3,0,-1,-2,81,52,34,1021,1017,1012,10,10,10,35,21,,0.00,2,,344
1999-3-29,19,10,1,4,2,-1,87,58,32,1022,1020,1017,10,10,10,13,5,,0.00,2,,200
1999-3-30,20,12,4,5,2,-4,87,56,20,1020,1018,1016,10,10,10,16,8,,0.00,2,,303
1999-3-31,23,13,4,4,1,-2,81,49,19,1017,1014,1010,10,10,10,32,6,,0.00,6,,287
1999-4-1,16,12,8,8,3,0,87,57,34,1017,1013,1010,10,10,10,34,14,,0.00,4,Rain,209
1999-4-2,19,11,3,5,3,1,93,58,32,1023,1020,1017,10,10,10,14,8,,0.00,3,,235
1999-4-3,23,14,5,7,4,3,87,54,31,1027,1025,1024,10,10,10,10,2,,0.00,5,,353
1999-4-4,26,17,9,9,7,5,87,53,28,1028,1026,1024,10,10,10,13,8,,0.00,3,,350
1999-4-5,26,17,9,7,5,-1,82,47,18,1029,1027,1025,10,10,10,11,6,,0.00,3,,358
1999-4-6,27,18,9,6,3,1,71,41,18,1029,1027,1024,10,10,10,24,5,,0.00,3,Thunderstorm,1
1999-4-7,20,14,8,8,1,-6,87,46,17,1026,1025,1024,10,10,10,47,14,52,0.00,4,,4
1999-4-8,19,13,8,5,0,-12,57,39,18,1026,1024,1022,10,10,10,39,23,53,0.00,3,,13
1999-4-9,20,12,4,0,-2,-5,70,42,18,1024,1022,1020,10,10,10,21,11,,0.00,1,,43
1999-4-10,22,12,3,2,-1,-5,81,42,16,1025,1023,1021,10,10,10,23,6,,0.00,2,,349
1999-4-11,21,13,7,3,0,-5,71,39,17,1026,1025,1023,10,10,10,34,13,,0.00,2,,22
1999-4-12,23,13,3,3,-1,-3,81,44,19,1025,1020,1014,10,10,10,34,10,,0.00,1,,289
1999-4-13,19,14,9,5,-2,-6,62,36,19,1019,1017,1015,10,10,10,24,14,,0.00,1,,23
1999-4-14,21,12,3,1,-1,-3,75,45,21,1016,1009,1002,10,10,10,34,11,,0.00,2,,324
1999-4-15,13,8,4,5,0,-5,87,60,33,1012,1007,1002,10,10,10,29,19,,0.00,5,Rain,37
1999-4-16,12,6,-1,7,0,-5,93,68,35,1012,1009,1005,10,10,8,39,13,64,0.00,4,Rain,243
1999-4-17,14,9,5,5,-1,-5,81,52,27,1021,1013,1007,10,10,9,37,24,,0.00,5,Rain,292
1999-4-18,17,9,1,-1,-4,-6,87,43,20,1025,1023,1021,10,10,10,13,5,,0.00,1,,152
1999-4-19,21,11,2,0,-3,-6,81,39,18,1023,1021,1018,,,,29,10,,0.00,,,262
1999-4-20,20,16,11,8,4,-4,67,47,24,1019,1016,1014,10,10,10,39,16,,0.00,6,,219
1999-4-21,19,16,12,11,5,1,94,53,32,1018,1015,1013,10,10,10,32,21,,0.00,6,,245
1999-4-22,19,14,11,6,2,-1,67,44,30,1022,1020,1017,10,10,10,32,18,,0.00,3,,255
1999-4-23,19,14,11,6,1,-4,67,43,24,1021,1019,1018,10,10,10,32,23,,0.00,4,,279
1999-4-24,21,12,3,1,-2,-7,75,38,15,1022,1020,1016,10,10,10,23,8,,0.00,2,,232
1999-4-25,19,12,6,7,2,-5,67,48,27,1017,1015,1012,10,10,10,39,10,,0.00,4,,262
1999-4-26,16,12,8,8,4,0,87,61,34,1013,1011,1008,10,10,8,29,8,,0.00,5,Rain-Thunderstorm,293
1999-4-27,15,11,8,8,6,2,93,79,44,1010,1008,1007,10,10,8,29,8,48,0.00,6,Rain-Thunderstorm,180
1999-4-28,16,12,8,9,7,4,100,81,58,1009,1006,1003,10,9,7,29,10,,0.00,7,Rain,121
1999-4-29,15,12,9,10,8,5,100,78,55,1014,1009,1006,10,9,5,24,11,,0.00,6,Rain-Thunderstorm,188
1999-4-30,19,14,9,10,7,4,100,71,37,1017,1015,1014,10,10,10,19,5,,0.00,6,,168
1999-5-1,20,14,9,11,7,4,100,65,35,1016,1014,1011,10,10,8,11,6,,0.00,5,Rain-Thunderstorm,13
1999-5-2,18,14,11,12,9,6,100,79,45,1015,1013,1011,10,10,7,14,8,,0.00,6,Rain-Thunderstorm,66
1999-5-3,18,13,9,12,8,5,100,71,42,1014,1013,1012,10,10,8,19,5,,0.00,6,Rain-Thunderstorm,339
1999-5-4,21,16,10,10,8,7,94,65,43,1015,1014,1013,10,10,10,27,11,,0.00,4,,241
1999-5-5,22,18,14,13,11,5,88,68,35,1018,1016,1015,10,10,9,40,27,,0.00,5,Rain,243
1999-5-6,23,17,11,13,11,9,100,73,43,1019,1017,1007,10,9,7,23,10,,0.00,5,,196
1999-5-7,19,16,13,14,11,5,100,76,46,1016,1014,1013,10,9,5,24,13,,0.00,5,Fog-Rain,213
1999-5-8,22,16,9,9,4,0,94,51,25,1018,1017,1015,10,10,10,19,10,,0.00,1,,205
1999-5-9,24,16,7,11,7,4,93,61,29,1018,1017,1015,10,10,10,16,6,,0.00,6,,283
1999-5-10,25,18,12,10,8,6,77,51,29,1022,1020,1018,10,10,10,23,10,,0.00,4,,209
1999-5-11,28,19,11,13,8,1,94,53,20,1022,1020,1018,10,10,10,26,11,,0.00,2,,235
1999-5-12,30,20,11,10,7,1,88,47,15,1020,1018,1016,,,,21,5,,0.00,,,294
1999-5-13,27,18,10,9,6,-2,82,44,15,1017,1016,1014,,,,34,10,,0.00,,,280
1999-5-14,26,20,14,13,9,2,77,48,24,1017,1015,1012,10,10,10,39,16,69,0.00,3,,238
1999-5-15,22,17,13,11,4,-6,82,44,15,1013,1012,1010,10,10,10,21,14,,0.00,2,,249
1999-5-16,20,14,9,9,4,-1,87,53,26,1011,1008,1007,10,10,10,35,11,,0.00,4,,235
1999-5-17,17,13,10,10,4,1,94,59,34,1009,1007,1004,10,10,9,34,14,,0.00,4,Rain,229
1999-5-18,14,11,9,9,7,4,94,79,51,1014,1010,1007,10,9,1,34,16,,0.00,6,Rain,216
1999-5-19,17,12,8,7,4,1,87,61,36,1022,1017,1014,10,10,10,26,18,,0.00,5,Rain,271
1999-5-20,18,12,6,7,4,0,93,59,37,1024,1023,1022,10,10,10,19,8,,0.00,4,,52
1999-5-21,23,14,6,7,4,1,93,54,27,1026,1024,1023,10,10,10,23,6,,0.00,1,,13
1999-5-22,27,17,8,6,4,3,82,44,21,1026,1024,1022,10,10,10,19,11,,0.00,2,,20
1999-5-23,27,18,9,7,5,2,82,41,21,1024,1021,1018,10,10,10,19,8,,0.00,1,,71
1999-5-24,29,20,12,9,6,2,77,41,18,1021,1019,1017,10,10,10,11,6,,0.00,2,,100
1999-5-25,31,22,13,10,6,0,72,39,14,1020,1018,1015,10,10,10,13,5,,0.00,2,,74
1999-5-26,30,22,14,9,4,-1,67,34,16,1017,1015,1012,10,10,10,23,8,,0.00,5,,62
1999-5-27,23,19,15,11,6,2,68,38,27,1020,1017,1014,10,10,10,27,18,,0.00,4,,223
1999-5-28,29,19,10,8,5,-5,82,46,11,1029,1018,1014,10,10,10,24,6,,0.00,4,,246
1999-5-29,25,21,17,9,4,-2,59,35,18,1019,1017,1016,10,10,10,24,10,,0.00,5,,198
1999-5-30,27,19,11,9,7,4,76,43,26,1017,1016,1014,10,10,10,19,6,34,0.00,4,,248
1999-5-31,31,23,16,15,9,4,83,50,19,1021,1017,1015,10,10,5,55,11,52,0.00,6,Rain-Thunderstorm,48
1999-6-1,29,23,17,18,14,6,94,70,35,1022,1018,1014,10,10,3,39,11,,0.00,4,Rain-Thunderstorm,325
1999-6-2,23,17,12,9,7,3,82,48,29,1022,1021,1018,10,10,10,26,16,,0.00,1,,225
1999-6-3,25,18,11,9,6,-3,82,44,19,1021,1020,1019,10,10,10,26,13,,0.00,2,,238
1999-6-4,27,19,11,7,4,-1,71,39,17,1022,1020,1016,10,10,10,19,6,,0.00,1,,223
1999-6-5,26,19,12,8,6,5,67,42,28,1017,1014,1011,10,10,10,29,10,45,0.00,3,,265
1999-6-6,24,18,12,3,0,-5,51,30,16,1014,1012,1011,10,10,10,23,6,,0.00,3,,208
1999-6-7,24,19,15,5,2,0,48,33,22,1018,1015,1013,10,10,10,23,13,,0.00,4,,269
1999-6-8,26,19,12,12,8,3,72,52,28,1023,1021,1018,10,10,10,26,11,,0.00,3,,45
1999-6-9,24,20,16,16,13,9,100,71,41,1024,1023,1020,10,10,7,19,6,,0.00,4,Rain-Thunderstorm,128
1999-6-10,27,19,11,14,10,5,100,62,24,1024,1022,1019,10,10,10,14,6,,0.00,4,,320
1999-6-11,29,21,13,13,9,5,82,50,25,1023,1021,1018,10,10,5,21,6,,0.00,4,Rain-Thunderstorm,349
1999-6-12,31,22,14,12,9,4,82,48,19,1021,1019,1016,10,10,10,19,6,,0.00,3,Rain-Thunderstorm,114
1999-6-13,30,23,15,15,11,7,94,58,23,1022,1019,1017,10,10,10,45,8,63,0.00,4,Rain-Thunderstorm,29
1999-6-14,29,20,12,14,10,-1,100,61,18,1023,1021,1018,10,10,10,13,5,,0.00,1,,13
1999-6-15,31,21,12,7,4,0,67,34,17,1023,1022,1020,10,10,10,14,8,,0.00,4,,341
1999-6-16,32,22,13,10,6,3,63,35,17,1023,1021,1018,10,10,10,21,6,37,0.00,3,,292
1999-6-17,28,22,17,15,11,8,72,52,35,1022,1018,1016,10,10,5,45,11,63,0.00,3,Rain-Thunderstorm,31
1999-6-18,27,21,15,12,9,7,77,51,30,1023,1021,1019,10,10,10,26,14,,0.00,3,,45
1999-6-19,31,22,13,10,7,2,82,42,18,1023,1021,1018,,,,27,11,,0.00,,,355
1999-6-20,32,22,13,9,6,0,72,38,14,1022,1021,1018,10,10,10,14,8,,0.00,1,,5
1999-6-21,34,23,13,10,5,0,63,33,11,1020,1017,1014,10,10,10,26,10,,0.00,1,,346
1999-6-22,32,23,14,15,7,2,51,35,20,1018,1016,1012,10,10,10,26,13,,0.00,2,,102
1999-6-23,31,24,18,15,12,7,77,48,23,1027,1016,1014,10,10,10,29,10,,0.00,3,Thunderstorm,159
1999-6-24,33,26,18,16,11,9,65,43,23,1019,1017,1015,10,10,8,24,8,,0.00,2,Rain-Thunderstorm,143
1999-6-25,30,24,18,16,11,6,78,47,23,1019,1017,1014,10,10,10,26,10,,0.00,3,Thunderstorm,182
1999-6-26,28,22,17,9,5,-3,59,35,13,1015,1014,1012,10,10,10,29,14,,0.00,2,,219
1999-6-27,28,21,14,8,6,0,67,36,18,1016,1014,1013,10,10,10,26,11,,0.00,2,,275
1999-6-28,30,22,15,12,7,4,63,39,19,1019,1017,1016,10,10,10,19,8,,0.00,4,,97
1999-6-29,32,23,16,15,9,1,83,44,14,1023,1021,1018,10,10,10,19,5,,0.00,1,,177
1999-6-30,35,26,16,8,6,2,55,28,13,1024,1022,1019,10,10,10,13,5,,0.00,1,,21
1999-7-1,36,27,19,10,6,-1,52,29,10,1021,1019,1015,10,10,10,23,8,,0.00,1,,192
1999-7-2,35,27,18,8,1,-5,40,20,8,1017,1016,1014,10,10,10,40,13,,0.00,1,,270
1999-7-3,34,24,15,7,-1,-6,36,20,8,1016,1015,1012,10,10,10,32,11,,0.00,1,,249
1999-7-4,29,22,16,12,8,0,56,36,16,1014,1012,1011,10,10,10,34,13,48,0.00,4,,242
1999-7-5,29,22,15,15,11,7,88,51,26,1015,1014,1013,10,10,10,26,8,,0.00,3,,258
1999-7-6,30,23,16,8,6,2,59,36,17,1021,1019,1016,10,10,10,19,5,,0.00,1,,14
1999-7-7,33,24,17,12,8,0,59,37,15,1025,1023,1021,10,10,10,26,14,,0.00,1,,38
1999-7-8,36,27,18,6,4,1,42,25,13,1024,1022,1018,,,,24,10,,0.00,,,18
1999-7-9,36,27,19,8,6,1,49,26,11,1020,1017,1014,10,10,10,23,8,,0.00,1,,360
1999-7-10,36,27,19,9,6,-2,49,28,9,1016,1013,1009,10,10,10,27,10,,0.00,2,,349
1999-7-11,33,26,19,11,8,2,49,33,16,1018,1011,1007,10,10,10,26,16,,0.00,2,,77
1999-7-12,27,22,17,16,11,5,88,51,32,1015,1012,1010,10,10,7,35,10,,0.00,5,Rain-Thunderstorm,211
1999-7-13,29,22,16,16,13,7,94,60,29,1018,1015,1013,10,9,7,21,6,,0.00,3,,350
1999-7-14,32,23,15,11,9,3,77,42,19,1020,1018,1016,10,10,10,13,6,,0.00,1,,339
